"name";"url"
"pop";"https://embed.spotify.com/?uri=spotify:playlist:6gS3HhOiI17QNojjPuPzqc"
"rap";"https://embed.spotify.com/?uri=spotify:playlist:6s5MoZzR70Qef7x4bVxDO1"
"rock";"https://embed.spotify.com/?uri=spotify:playlist:7dowgSWOmvdpwNkGFMUs6e"
"urbano latino";"https://embed.spotify.com/?uri=spotify:playlist:1kfJj9rUlOGawu2U1U4oZn"
"hip hop";"https://embed.spotify.com/?uri=spotify:playlist:6MXkE0uYF4XwU4VTtyrpfP"
"trap latino";"https://embed.spotify.com/?uri=spotify:playlist:7MIkj5EbBCaUutUBEfGpEJ"
"reggaeton";"https://embed.spotify.com/?uri=spotify:playlist:0VKCDh1qcRXjMfDhGEXihm"
"dance pop";"https://embed.spotify.com/?uri=spotify:playlist:2ZIRxkFuqNPMnlY7vL54uK"
"pop rap";"https://embed.spotify.com/?uri=spotify:playlist:5SrYLEPXnsfmK4ZuOCIKKm"
"modern rock";"https://embed.spotify.com/?uri=spotify:playlist:5HufsVvMDoIPr9tGzoJpW0"
"pov: indie";"https://embed.spotify.com/?uri=spotify:playlist:3ByKGRaNhQrtrvuGdjQ2Vf"
"musica mexicana";"https://embed.spotify.com/?uri=spotify:playlist:0Vv6NMPjPTWbdPybFlryM4"
"latin pop";"https://embed.spotify.com/?uri=spotify:playlist:5tRvNV4dHaAbqPORml4YFS"
"classic rock";"https://embed.spotify.com/?uri=spotify:playlist:6NbtuNCQqvy9FXg1eYNqjJ"
"filmi";"https://embed.spotify.com/?uri=spotify:playlist:1uny7o4LNoe7C5qJJ8S1k1"
"permanent wave";"https://embed.spotify.com/?uri=spotify:playlist:4EYSGTuqe9cVfSVpX4gtGv"
"trap";"https://embed.spotify.com/?uri=spotify:playlist:60SHtDyagDjPnUpC7x1UD9"
"alternative metal";"https://embed.spotify.com/?uri=spotify:playlist:0zJrEnj3O8CohOpFFUVSo9"
"k-pop";"https://embed.spotify.com/?uri=spotify:playlist:3T1Rft817cZ3pguTvaWaz3"
